old                                      new
023348bbe26bbbe0284c317429acaf89988a1144 e885026703ed7796638c65b810920df7a4efa519
04dbc3478aace879b2bb1b5f9cc6329b146b7802 c5ce595e4141a8cfea92605bfc3a10557bcc3780
06060c0a26b8401a2c63052977769d3ba0f344d3 679d30044c625baef66bcfcbc548cd4637c02077
079b99be6d849c63b332ceabfa645b7948df6db8 9898d869f2ac605c789e6e452128a3ded0ab6c01
0a3276c0666df2c42655bfd1e1639a001ef854d6 434754018a67f0cf6b81a859616a042ec75db649
0a3400cffdafc36df48c2df072df87cd74cb3807 7c96d9a12dfb503e95b0a81423ab937ff29e0cd1
0de882dcd7afc2903be6566bf4112302835584ce b0aee5be1e7f7c0db8b2a4038fe3dea2b1b3ec52
0eb893e86fd05a94c58b9af10a9b141131eb68a5 0000000000000000000000000000000000000000
0f37c2e8619d2b52b77043f8e4781d0305e956a0 93adcaefdd5054572af8c1611ecf200a04cdf3d6
128176ff52041fd78f862d6ebdab09671653d055 bb169c76b78a655f3e51a6e39cdecb436bfdce8f
1410683dc728beac5830294d8027c4890fd479e2 d898393de68e372b452c96f2f87102b1196fa51b
193af2c9496d768b315ec0d1f0018dcaf749ef70 4680cf42d96abc2c47503de51a82867792667a58
1b84d9aa1b47b755e3dec6b9d6057ab8b8ed2b24 b4a5756aa233fe692014621b303972815d31d86d
232cf559382d5fc974545c386dfb7cdf244e301d 7dc3dac4ae251e2946a518b9a554e685dec12388
24a3ae5ff3e155b94fb1979768bff48fd2c79581 0000000000000000000000000000000000000000
24f97f42958af7d3d71a94fb11c0dcc57a4e1a2a ccb0973c3e10c13c01f414e88c34f9254cee8a15
2bba6a82f412501111e7fcc7922c7593b485722f 0494a2e765f667f66a05a90311fc13d49a880426
2e535b4a6357cd45754abb575196c681cbaec7a5 236e876fdb1fd02b0d370ef224a1c83ce11b6913
300ee0c38350b30b56762396ce308f4414d65227 cf61eebde40cab95a90853059473bf3eee72906f
3196bf31eb1305435b5a9ce527dc2affb8495933 699b71a39e0b2333ff0e96535f1151b97631b4fa
33330efe6ae3504150b012c88bfd1934f0871136 5341c25bc77c310bb167ae492ef49408d04bc3f9
3afe70c0a91940df4ebc9d3cb55685763d335c41 54bff3119ed6b4f17c3bbc483b510bf0043fc0d2
3bc228250d490ec15c0bee7c2689ccb6c0d46ecb f4bcfa7f9537043f4f110e9936e780118253488c
3dc473f3142452d228e2c384e35733b300c1afa4 988edff30f1a12253570cdc239cb689d3ac4e53e
3f194d52a29b413f142a020a2f412e9757f65dfc cf740a38c2f0d4be0c45c187370244a3a0da8571
4183091aa1d9b3a6b31c47183749cb62e671d66d 431661ff4980036b456b99e19dfb6775e4f09ed7
431b7191e568ca310b6c6cd41112eb9c13a91dc3 2c1dadb3d5fcba95babf5deaeda107ef7d010f38
486a900f07ced33885ca6ac1578f760409e4846c 8113563bdc2eedc636a72fe67f972a0d9ed913cc
4eabe4646fa022a91611d002529703c5e85b6946 9b776abc2fe73ae1ff96fdfca81ab5e2e7f2167d
50345988779dae87dd97b4e7d729e70a4236a1e4 4d93e18190e5a7b98a395c056b36482ddd924040
52275478e7e5c4c9c0e0e7a2ebe3e2a072c52db6 d6c29f689df6ce63e71b8a6cfbb707c6555da4b7
577c14100164f5429152543e6ff69c2cb881ae79 31a5c705c922ea6655f4de0f6872605072de6ba4
5b5125a061689e3a3b8dd9bc42c1338adfaf1db1 a73b05270cd8527affdbfcf45665809070a122d8
5b702227897c1d01abd01a4e4fb8c64fbd61f708 e89a86d282acce48e28d46e665f54e054c5dc39f
5b95ba5669a524293cf7e6f68df1cb9fd7fab47c c09e30cac5ea3cc9d34dfb791d28740de1685cc8
5bb32e92d6ebb6fcf399631abaa1e0f4d81cc133 83df706af0664e6c1ee31a6458f730ff005f3179
5d3d1211f95cdd87ff0842f67949d88abb4b3c22 a3f2cfa604210b9320abca75e3b200bca71a5c29
5de5ba96227f2c846e37fef530008bc12dcff97e d4804ed05a3a6ec44b9e9c2ebff064cd8d28f00c
5e5281b77a0ae6047e063c7913e9a2817d0f20d2 01c78efbeaf6c02190075cf47fed7b6bbbb7e9c3
5f0eb4d65986262f36d1d4356c65c3232928b60a 9c0182d47381344a01af996d3b0a4b3e2aec10f2
6268515bb2728d1d287345eb5cc44628e0642d38 07befca77c4af7335f475cf9dcc2ccc587ed1ec4
659d3fecb1e683635d088fef3c7060ad0cedd92c 721d90bb3dcecdd6d6faeb1fbd88a763e44742a5
6c6dbb6483c75442f0a1db6482de51a7ca0fdad1 cedf6e9a9a93a125339abc8d8f832b7aefd58c6e
6f1723904a856103c53a87a6683bacd26da46442 8d78ca872f67a3f495bf94c3f53f61565ecb5953
72b3696c540259d328bac3c0714ddd0a03471dfa a71912d45721c48a6f46bc1953559755565d7fbc
73e9111cb06831683054f1a93c662a0ddaa83f45 753d6e4dc9434b4669f439aecc8a493de8439b31
75ab5eefa17b71f806e0cd07b01f883d2b6a374e 0f06c3cfbf41c05736603c2256903e7d5bfbff1f
760e6360734fc3dc13c31ea1212f74d33a203679 d71835377d2c04b1ff6cd4f30a940bf865ea52b5
7896aa97e7b6aab0e34d1f8b0bd043014852e7da f3713b802ebd0bef1483f3071f8763ccbce58a29
7b59e5e85af1f79dbf44c3e1936b74699ddcd246 530a6a3f05f47d4ca080820851399f04ea10fda9
7f5bb2df8c785fc6117642c45d60137ad3ae655f c151121cfaa6e714d90e4ccb1404cc338f2e03d9
805b8d6ccc752ccfbe24762965281c88eb00cc1c 498cf83c46e7918e93c71b6aa871ab54c050c568
81e11d4274e5f46fdb02849c32b97c068432eb37 687141a4931cf71356a0dc7253226c87019dccbd
87e113a5fd470194ea22a90c4bb7e02c59fe3958 d2dd6047423b322e26c7d1e8ae9f93205c26b3ed
8870569c69018cd74f2db0e45f76b7438e8a9bc3 a139d2dceeb7bcfbfefb1cf01e9bc69f6b9653fe
8a36d87b2879cc46dbeb48915257c6b57a1e3272 4d3ed240c0bc941bf313d54925c68e1474f6127b
8af85a3c2fdd2c8e3a7de81000067173d048584e 2463842d0c00e2853882d28df63e8ea94fc7e778
8df879121430d77ba354b90143c2062064cfafcc 0000000000000000000000000000000000000000
904fbd8cdf7980ff03b5d5282f9c174ea32c4a5d dec8ac542d5b8c5dcf63a7a334f96e1c0e2ba41e
906b0e41cab78a250935cd23a8a6c4e38b4ee4b6 e8220802300cb771bfe4ad797d849d3bbea5d4fa
94c871255978e3356dde39d2db53d8d9ee7638e6 caa1bfddb96da5ffc944d1258a7741a197ad6dd2
97053154fd73707fdb9b66509bf4490a8f5a4ce6 70f8503d70ec4b5febd58323ef4532b9e6185563
988b1a0a27b7cfe6fcf038085d4879298d807671 de8c96b76278e111ad1c82d8e8da086dc43b39f7
9a77e9a9d297056cf786e707d02cc0678be0ec55 466902f5300467655fdb4476d5315e6877568c6a
9b8320052364acd80448185bb8a90005f956b05a 7c108fde48a33181485eb229834670396c8cfdf5
9c014a31da1c83603b366cb2266469f4389ab508 9d05c6a6c57e21ffcc0e1ea97b0f466a79a11633
9d0760de26ad1cadb468f1d70d0848e0bb4910f2 b5fff27655e83e4d6740cbfa89eb7856573c1890
9d48cd0e4b7a84995ef6050e91f0944db5b3350f d1ed9229735cbd964b20c9caaade148d02c074ec
9dea19fbd9bf7e4e816a6d0ad1d915ccac4fafbe a8b1a2aa5a3a2d3f095414277e8e8f04716eafb3
9e383e3ad51cecb6d73ca63bcbc73b12f1e6dd05 461fdeaf5ba6f482529c47d4af5b7466de7f8bbd
a2a2cfd6031c2b49ae96e560a7cfc624ba94efb6 137618fa803ad165ac9e269aa6ed47f07e7dfea4
a5b52d6baf7e9d51706cdde7e7ac6af428a94363 acd1e135ecc69d47d2d885aa7edc7b9084899dd3
a6c20e767e00b249c9ddfb2d3fcb7e72aa6594ce d38762f937d7fe272029ce8ae7f3be1d2baf7f3b
a8cacc7c3214fbc1da610cf70ee4fef231904373 b97e02cd9ba42ba68acb082cc5f4f6f19c1eed18
ad359602197b375af63e694cd95e7f56beec20ab 0942f5258a00c66904fc449a509ab7cd0b0ba28b
b1bbad971977caab6683465682feb688d111a1e2 941ed90968de3df4e0fac0b5a81b49d5c777bfb0
b314da83dd92a910cddcb97710a78b9e3151a25c d845bdbd29782ec8b7c3e35a826968690539efcd
b46432eb258de67b2a81061c3271b0d55da87a94 9668f73ca8aadf4656a6c92848720f8947ff8084
b78bcdc56a794c37b75c6f69d6ce117d51a897e2 6996a9ff091a55d16c383651593cf77182b6b10d
b8213d3d97cf95ae2a926c6fa4e0a4529012c62e 8c6f86c448e0896d31ba82bf17ba36aa9abb7370
c0e7fe1f745b641fa27b3fe9f3cfa279082bcdd5 415d497c5e5a06b4e1a39482555ffce18df27a75
c5a21c320ddbb88bf9516bf9759706a34cebbdb4 0ee005cdcb1a27714fe997d330eb2336e8587552
ce5ae02748cb05feac5ae52ad98a22463afd807b ed799c42bc1a0a6162a8ed3420c2431b42dc31e7
cf7d685fde0cc3c0fb1afc18ea37c56e88f41529 c26781cd1c0e4e262ed2ba5f8212b26634e58dbe
d53fc54e87dde2fe727c4fdb28c4e1292a0de68b d95a32eece4870195a07ed182515ba48e6998589
da44a460fd926749d84c45b9360b1b6bfa9b6985 b69500092050a316c8385feaef477a0b1a88db35
db74b62d7a8ac366a677e67db3ee11b282b6c5bc aef45f740234b4e241f05d7577e343aed5367574
dcbba239d222173da66abe0e974b25400864490b 6d014bda5d7d7561a5f2bf830684ead8bb3b6f7f
e065cef30fd34fa7fdad3464c7ca067a8594959b d7bdcfd8daeab1172106b9d0062050ebb16acd85
